Product SKU;Brand;Type;Formula
Urea Petro;PIHC;Urea;
Urea PIM;PIHC;Urea;
Urea Nitrea;PIHC;Urea;
Urea Daun Buah;PIHC;Urea;
Urea Pusri;PIHC;Urea;
Nitralite;PIHC;Nitrogen;
ZA Petro;PIHC;ZA;
ZA Plus Petro;PIHC;ZA;
ZK Petro;PIHC;ZK;
Petro-CAS;PIHC;Mikro;
SP-36 Petro;PIHC;Fosfat;
Rock Phosphate PETRO;PIHC;Fosfat;
Phosgreen;PIHC;Fosfat;
SP-26 Petro;PIHC;Fosfat;
Petro BioFertil;PIHC;Organik;
Phonska Plus 15-15-15+9S+0.2Zn;PIHC;Majemuk; 15-15-15
NPK Kebomas 12-12-17+2MgO+0.1Zn+0.2B+0.2Fe;PIHC;Majemuk; 12-12-17
NPK Kebomas 12-6-22+3Mg;PIHC;Majemuk; 12-6-22
NPK Kebomas 15-15-15;PIHC;Majemuk; 15-15-15
PETROFERT  16-16-8+13S;PIHC;Majemuk; 16-16-8
Petro Niphos 20-20+13S;PIHC;Majemuk; 20-20-0
FERTIGRES  16-20+13S ;PIHC;Majemuk; 16-20-0
NPK PIM 15-15-15;PIHC;Majemuk; 15-15-15
Nitroku 16-16-16;PIHC;Majemuk; 16-16-16
NITROSKA  15-9-20+1.5MgO+3S ;PIHC;Majemuk; 15-9-20
NPK Kujang 15-15-15 ;PIHC;Majemuk; 15-15-15
NPK Kujang 30-6-8;PIHC;Majemuk; 30-6-8
Polivit-PIM 0-0-12+48S+9MgO;PIHC;Kalium;
Solution N 28-10-10 + TE;PIHC;Majemuk; 28-10-10
Pelangi Agro 20-10-10;PIHC;Majemuk; 20-10-10
Pelangi Jos 16-16-16 Coating Mikroba;PIHC;Majemuk; 16-16-16
Pelangi 16-16-16;PIHC;Majemuk; 16-16-16
Pelangi 15-15-15;PIHC;Majemuk; 15-15-15
NPK Pusri 15-15-15 ;PIHC;Majemuk; 15-15-15
Pelangi 20-10-18;PIHC;Majemuk; 20-10-18
Pelangi 12-12-17-2;PIHC;Majemuk; 12-12-17
NPK Pelangi 13-6-27-4;PIHC;Majemuk; 13-6-27
Petro Nitrat 16-16-16;PIHC;Majemuk; 16-16-16
Jeranti 18-10-14+2S+TE;PIHC;Majemuk; 18-10-14
NPK Pusri 16-16-16;PIHC;Majemuk; 16-16-16
NPK Pusri 13-6-27-4Mg+0.65B;PIHC;Majemuk; 13-6-27
NPK Petro Ningrat 12-11-20;PIHC;Majemuk; 12-11-20
Kapur Pertanian Kebomas;PIHC;Mikro;
MerokeZA;Mutiara;ZA;
MerokeROCK;Mutiara;Fosfat;
MerokeTSP;Mutiara;Fosfat;
MerokeKKB 0-0-40-0.8B;Mutiara;Kalium;
Suburkali Butir 0-0-30+17S+10MgO;Mutiara;Kalium;
MerokeSOP KALI 0-0-52+18S;Mutiara;Kalium;
MerokeMOP;Mutiara;Kalium;
KARATE PLUS BORONI 15.5-0-0+0.3S+26CaO;Mutiara;Nitrogen;
Mutiara PARTNER 13-13-24;Mutiara;Majemuk; 13-13-24
Mutiara 16-16-16;Mutiara;Majemuk; 16-16-16
Mutiara PROFESSIONAL 9-25-25;Mutiara;Majemuk; 9-25-25
Mutiara SPRINTER 20-10-10;Mutiara;Majemuk; 20-10-10
MerokeCPN NK 15-15+TE;Mutiara;Majemuk; 15-15-0
MerokeMAP 12-61-0;Mutiara;Majemuk; 12-61-0
MerokeMKP 0-52-34;Mutiara;Majemuk; 0-52-34
Meroke Flex-G 8-9-39+3MgO;Mutiara;Majemuk; 8-9-39
SS (AMMOPHOS) 16-20-0+12S;Mutiara;Majemuk; 16-20-0
Mutiara GROWER 15-09-20+TE;Mutiara;Majemuk; 15-9-20
Mahkota ZA;Mahkota;ZA;
RP Peru;Mahkota;Fosfat;
RP Mesir;Mahkota;Fosfat;
Triple Super Phospate (TSP);Mahkota;Fosfat;
Mahkota Kieserite;Mahkota;Mg;
Borat;Mahkota;Mikro;
Mahkota MOP (KCL Canada);Mahkota;Kalium;
Mahkota NP 16-20-12S;Mahkota;Majemuk; 16-20-0
Mahkota 15-15-6-4;Mahkota;Majemuk; 15-15-6
Mahkota 12-6-22-3+TE;Mahkota;Majemuk; 12-6-22
Mahkota 12-12-17-2+TE;Mahkota;Majemuk; 12-12-17
Mahkota 13-6-27-4+0.5B;Mahkota;Majemuk; 13-6-27
Mahkota 13-8-27-4+0.65B;Mahkota;Majemuk; 13-8-27
Mahkota 15-15-15;Mahkota;Majemuk; 15-15-15
Mahkota 16-16-16;Mahkota;Majemuk; 16-16-16
Urecote;Pak Tani;Urea;
ZA Pak Tani;Pak Tani;ZA;
Fertiphos;Pak Tani;Fosfat;
Phosgro;Pak Tani;Fosfat;
Fertiphos Sawit;Pak Tani;Fosfat;
Magnesium Sulfate;Pak Tani;Mg;
Fertikali;Pak Tani;Kalium;
Saprodap  16-20+12S;Pak Tani;Majemuk; 16-20-0
Pak Tani 15-15-15+TE;Pak Tani;Majemuk; 15-15-15
Pak Tani Holland  15-15-15;Pak Tani;Majemuk; 15-15-15
Pak Tani  16-16-16 Merah;Pak Tani;Majemuk; 16-16-16
Pak Tani  16-16-16 Biru;Pak Tani;Majemuk; 16-16-16
Pak Tani Sawit  15-15-6-4;Pak Tani;Majemuk; 15-15-6
Pak Tani Sawit 12-12-17-2;Pak Tani;Majemuk; 12-12-17
Pak Tani Sawit  13-6-27-4+0.65B;Pak Tani;Majemuk; 13-6-27
Pak Tani Sawit  13-8-27-4+0.5B;Pak Tani;Majemuk; 13-8-27
Pak Tani Sawit  7-6-35+B+Cu+Zn;Pak Tani;Majemuk; 7-6-35
Magnum 15-10-22-2Mg-3.8S;Pak Tani;Majemuk; 15-10-22
Pak Tani Padi  21-14-7+2MgO+2S+TE;Pak Tani;Majemuk; 21-14-7
Pak Tani Fertila 13-6-27-4Mg+0.65B+TE;Pak Tani;Majemuk; 13-6-27
Pak Tani Fertila  18-6-14+5S;Pak Tani;Majemuk; 18-6-14
Pak Tani Fertilla 18-8-10+3MgO+TE;Pak Tani;Majemuk; 18-8-10
Pak Tani Fertila  21-14-7+4MgO+TE;Pak Tani;Majemuk; 21-14-7
Pak Tani Fertila 20-10-12+TE;Pak Tani;Majemuk; 20-10-12
Pak Tani Fertila  28-6-13+3MgO+TE;Pak Tani;Majemuk; 28-6-13
Pak Tani Fertila 8-15-19;Pak Tani;Majemuk; 8-15-19
Pak Tani Singkong  15-15-15;Pak Tani;Majemuk; 15-15-15
Pak Tani 12-12-17-2;Pak Tani;Majemuk; 12-12-17
Pak Tani Sawit  12-6-22-3+TE;Pak Tani;Majemuk; 12-6-22
Pak Tani  9-15-6;Pak Tani;Majemuk; 9-15-6
Pak Tani Fertila Qrop   12-6-24;Pak Tani;Majemuk; 12-6-24
MKP PAK TANI 0-52-32;Pak Tani;Majemuk; 0-52-32
CPN PAK TANI 15-0-15;Pak Tani;Majemuk; 15-0-15
ULTRADAP 12-60-0;Pak Tani;Majemuk; 12-60-0
NEO KRISTALON 12-12-36;Pak Tani;Majemuk; 12-12-36
NEO KRISTALON 18-18-18-0.8Mg-2S+0.02Mn+0.036Zn+0.02B;Pak Tani;Majemuk; 18-18-18
FERTILA 6-18-28-0.6Mg-5S+0.1B+0.01Zn+0.01Cu;Pak Tani;Majemuk; 6-18-28
FERTILA 12-6-24-0.75Mg-1.5CaO-5.6s;Pak Tani;Majemuk; 12-6-24
FERTILA 0-16-17;Pak Tani;Majemuk; 0-16-17
PN PAK TANI 13-0-46+0.55Cl;Pak Tani;Majemuk; 13-0-46
YaraVera;Yara;Urea;
Ammonium Sulfate;Yara;ZA;
YaraVita TRI-PHOLATE 0-0-0-70Mn+50Zn+25Fe+20B+20Cu+1Mo;Yara;Mikro;
YaraLiva TROPICOTE 15.5-0-0+19Ca;Yara;Nitrogen;
YaraTera CALCINIT 15-0-0+26CaO;Yara;Nitrogen;
YaraTera KRISTA K 13.7-0-46.3;Yara;Majemuk; 13.7-0-46.3
YaraTera KRISTA MAP 12-61-0;Yara;Majemuk; 12-61-0
YaraMila PALMAE 13-11-21+2MgO+0.2B;Yara;Majemuk; 13-11-21
YaraLiva NITRABOR 15.5-0-0+25.6CaO+0.3B;Yara;Nitrogen;
YaraMila WINNER 15-09-20+1.3MgO+3.4S+TE;Yara;Majemuk; 15-9-20
YaraMila UNIK 16-16-16;Yara;Majemuk; 16-16-16
YaraMila FASTER 25-7-7;Yara;Majemuk; 25-7-7
YARAMILA COMPLEX 12-11-18-3Mg-8S+0.02Zn+0.03Mn-2.56Ca+0.22Fe;Yara;Majemuk; 12-11-18
YaraTera KRISTA MKP 0-52-34;Yara;Majemuk; 0-52-34
Vrea;Tawon;Urea;
Nitroplus (ZA);Tawon;ZA;
MK FOS 0-52-34;Tawon;Majemuk; 0-52-34
HSP Astiva;Tawon;Fosfat;
KSP;Tawon;Fosfat;
CAP TAWON 12-12-17-2Mg;Tawon;Majemuk; 12-12-17
CAP TAWON 15-15-15;Tawon;Majemuk; 15-15-15
CAP TAWON 15-15-6-4;Tawon;Majemuk; 15-15-6
CAP TAWON 16-16-16;Tawon;Majemuk; 16-16-16
CAP TAWON 18-12-6;Tawon;Majemuk; 18-12-6
CAP TAWON 19-9-19;Tawon;Majemuk; 19-9-19
HXAS;DGW/Hextar;ZA;
HX-MROPH;DGW/Hextar;Kalium;
HX-MKP 0-50-35;DGW/Hextar;Majemuk; 0-50-35
HX-DAP 18-46-0;DGW/Hextar;Majemuk; 18-46-0
DGW TSP;DGW/Hextar;Fosfat;
DGW KNO3;DGW/Hextar;Kalium;
COCKHEAD 12-12-17-2Mg;DGW/Hextar;Majemuk; 12-12-17
COCKHEAD 12-6-22-3Mg;DGW/Hextar;Majemuk; 12-6-22
COCKHEAD 13-6-27-4Mg+0.65B;DGW/Hextar;Majemuk; 13-6-27
COCKHEAD 15-15-15;DGW/Hextar;Majemuk; 15-15-15
COCKHEAD 15-15-6-4Mg;DGW/Hextar;Majemuk; 15-15-6
COCKHEAD 16-16-16;DGW/Hextar;Majemuk; 16-16-16
COCKHEAD 7-6-34;DGW/Hextar;Majemuk; 7-6-34
COMPACTION DGW 15-15-15+TE;DGW/Hextar;Majemuk; 15-15-15
BOOSTER DGW 12-6-22-3+TE;DGW/Hextar;Majemuk; 12-6-22
GOLD DGW 16-10-18;DGW/Hextar;Majemuk; 16-10-18
COCKHEAD 13-8-27-4+TE;DGW/Hextar;Majemuk; 13-8-27
DGW 16-16-16+TE;DGW/Hextar;Majemuk; 16-16-16
ENTEC 13-10-20;BASF;Majemuk; 13-10-20
NITROPHOSKA 13-10-20;BASF;Majemuk; 13-10-20
ENTEC 20-10-10;BASF;Majemuk; 20-10-10
NITROPHOSKA PLUS 12-12-17-2;BASF;Majemuk; 12-12-17
NITROPHOSKA PERFECT 15-5-20;BASF;Majemuk; 15-5-20
ENTEC 13-10-20;BASF;Majemuk; 13-10-20
CANTIK CALCINIT;BASF;Nitrogen;
NITROPHOSKA 15-15-15;BASF;Majemuk; 15-15-15
Brucite;BASF;Mg;
EMCOTE 13-11-11-7Ca-2Mg-6S+TE(0.08Cu+0.5B);LaoYing;Majemuk; 13-11-11
EMCOTE 13-6-27-2+TE;LaoYing;Majemuk; 13-6-27
MESTI-PATENHIJO 15-10-20+TE;LaoYing;Majemuk; 15-10-20
MESTIFOSKA 15-15-15+TE;LaoYing;Majemuk; 15-15-15
EMCOTE 15-15-6-4+TE;LaoYing;Majemuk; 15-15-0
MESTIFOS 15-20-0+12S;LaoYing;Majemuk; 15-20-0
MESTI-PATENBIRU 16-16-16+TE;LaoYing;Majemuk; 16-16-16
MESTI-BOMBER 19-9-19+TE;LaoYing;Majemuk; 19-9-19
EMCOTE 20-6-14;LaoYing;Majemuk; 20-6-14
MESTI-KP 0-52-34;LaoYing;Majemuk; 0-52-34
Mesti-ZA;LaoYing;ZA;
Mesti-TSP;LaoYing;Fosfat;
Mesti-Rock;LaoYing;Fosfat;
Mestikali;LaoYing;Kalium;
Mestical;LaoYing;Nitrogen;
Mesti-GAS;LaoYing;ZA;
Mestac;LaoYing;Nitrogen;
MestiKisrit;LaoYing;Mg;
Borate Evermax;LaoYing;Mikro;
